EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,JobSatisfaction,Attrition
EMP0034,47,Female,Marketing,Marketing Specialist,62022,12,3,Yes,2,Yes
EMP0035,57,Male,Marketing,Marketing Specialist,43542,1,1,No,2,No
EMP0036,44,Female,Finance,Financial Analyst,73476,7,0,No,2,No
EMP0037,22,Male,Research & Development,Research Scientist,75784,0,0,No,2,Yes
EMP0038,36,Male,Sales,Sales Representative,62740,5,3,Yes,2,Yes
EMP0039,42,Male,Research & Development,Laboratory Technician,69817,12,2,No,2,Yes
EMP0040,30,Male,Research & Development,Research Scientist,92596,8,4,No,3,No
EMP0041,30,Male,Sales,Sales Representative,56052,5,1,No,3,No
EMP0042,31,Male,Research & Development,Laboratory Technician,80153,4,3,No,4,No
EMP0043,47,Female,Sales,Sales Executive,40671,14,1,No,3,Yes
EMP0044,56,Male,Marketing,Marketing Specialist,38163,6,3,Yes,3,Yes
EMP0045,46,Female,Sales,Sales Executive,81424,14,2,No,4,No
EMP0046,47,Female,Research & Development,Research Scientist,89002,6,2,No,3,No
EMP0047,32,Female,Research & Development,Software Engineer,49795,3,2,No,3,No
EMP0048,23,Male,Research & Development,Research Scientist,55634,1,1,No,3,No
EMP0049,28,Male,Research & Development,Laboratory Technician,49798,6,2,Yes,2,No
EMP0050,39,Male,Sales,Sales Executive,62420,11,0,Yes,2,Yes
EMP0051,48,Male,Marketing,Marketing Specialist,67300,14,0,No,3,No
EMP0052,55,Female,Human Resources,HR Specialist,62345,7,5,No,3,No
EMP0053,48,Male,Marketing,Content Creator,48749,1,1,No,1,No
EMP0054,38,Male,Finance,Financial Analyst,86595,13,1,Yes,4,No
EMP0055,45,Female,Research & Development,Software Engineer,70121,7,3,No,3,No
EMP0056,46,Female,Marketing,Content Creator,66411,5,3,No,3,No
EMP0057,28,Female,Sales,Sales Executive,73361,5,5,No,4,Yes
EMP0058,27,Male,Sales,Sales Executive,61223,5,0,Yes,3,No
EMP0059,45,Male,Sales,Sales Executive,47394,13,3,No,4,No
EMP0060,54,Male,Research & Development,Research Scientist,59056,2,0,No,3,No
EMP0061,50,Male,Research & Development,Software Engineer,73380,4,4,Yes,1,Yes
EMP0062,43,Male,Sales,Sales Executive,66035,12,1,No,3,No
EMP0063,47,Male,Finance,Financial Analyst,78620,6,4,No,3,No
EMP0064,49,Male,Research & Development,Laboratory Technician,64877,10,5,No,3,Yes
EMP0065,42,Male,Sales,Sales Executive,83404,11,2,No,4,No
EMP0066,28,Male,Research & Development,Research Scientist,75911,6,2,Yes,3,Yes
EMP0067,38,Female,Sales,Sales Executive,72784,11,2,Yes,3,No
EMP0068,41,Female,Finance,Accountant,51191,5,4,No,4,No
EMP0069,41,Female,Sales,Sales Representative,73160,9,3,Yes,3,Yes
EMP0070,43,Male,Marketing,Marketing Specialist,63000,3,1,No,3,No
EMP0071,49,Male,Human Resources,HR Specialist,41631,1,1,No,4,No
EMP0072,28,Male,Sales,Sales Executive,46172,4,4,No,2,No
EMP0073,22,Female,Sales,Sales Representative,82080,0,0,No,3,No
EMP0074,53,Female,Finance,Financial Analyst,71561,4,2,No,4,No
EMP0075,34,Male,Human Resources,HR Manager,62817,2,2,No,3,Yes
EMP0076,51,Female,Human Resources,HR Specialist,58281,10,1,No,3,No
EMP0077,44,Male,Human Resources,HR Specialist,66671,14,2,No,3,Yes
EMP0078,40,Male,Sales,Sales Executive,65364,14,1,Yes,3,No
EMP0079,53,Female,Research & Development,Research Scientist,86674,5,5,No,4,Yes
EMP0080,51,Female,Sales,Sales Representative,67425,3,2,No,2,No
EMP0081,50,Female,Finance,Accountant,76602,13,4,No,1,No
EMP0082,50,Female,Research & Development,Research Scientist,68253,12,4,No,2,No
EMP0083,51,Male,Research & Development,Research Scientist,68472,13,5,No,3,No
EMP0084,37,Female,Sales,Sales Representative,48080,9,1,No,3,No
EMP0085,40,Male,Research & Development,Software Engineer,52099,4,4,Yes,4,No
EMP0086,39,Female,Research & Development,Laboratory Technician,70431,6,1,No,3,No
EMP0087,22,Male,Human Resources,HR Manager,69186,0,0,No,3,No
EMP0088,35,Female,Research & Development,Laboratory Technician,92684,6,4,No,1,No
EMP0089,23,Male,Finance,Accountant,78111,1,1,No,3,No
EMP0090,49,Female,Research & Development,Software Engineer,84851,12,3,Yes,3,Yes
EMP0091,51,Male,Sales,Sales Representative,62614,12,4,No,1,Yes
EMP0092,25,Female,Human Resources,HR Manager,64724,3,2,No,2,Yes
EMP0093,22,Male,Human Resources,HR Manager,42940,0,0,No,2,No
EMP0094,29,Male,Research & Development,Laboratory Technician,73758,2,2,No,1,Yes
EMP0095,50,Male,Human Resources,HR Specialist,74224,12,1,No,3,No
EMP0096,24,Male,Research & Development,Software Engineer,52788,2,2,Yes,2,No
EMP0097,53,Female,Research & Development,Research Scientist,73082,9,0,No,3,No
EMP0098,31,Male,Research & Development,Software Engineer,69034,5,0,No,4,No
EMP0099,31,Female,Sales,Sales Representative,75479,8,4,Yes,3,No
EMP0100,40,Male,Sales,Sales Executive,51280,2,2,Yes,4,Yes
EMP0101,55,Male,Sales,Sales Representative,58052,6,2,Yes,3,No
EMP0102,54,Female,Research & Development,Software Engineer,61531,3,3,Yes,3,No
EMP0103,44,Female,Research & Development,Laboratory Technician,67804,12,3,No,4,No
EMP0104,49,Male,Research & Development,Research Scientist,73903,12,0,No,2,No
EMP0105,53,Female,Marketing,Marketing Specialist,48142,14,4,No,4,No
EMP0106,28,Female,Sales,Sales Representative,49866,6,5,No,1,Yes
EMP0107,50,Male,Research & Development,Laboratory Technician,49531,5,3,No,3,No
EMP0108,29,Female,Human Resources,HR Specialist,66138,7,4,No,1,Yes
EMP0109,22,Female,Sales,Sales Executive,67065,0,0,No,3,No
EMP0110,24,Female,Sales,Sales Executive,69956,2,0,No,3,No
EMP0111,45,Male,Sales,Sales Executive,81732,14,0,No,3,No
EMP0112,44,Female,Sales,Sales Executive,79261,1,1,No,2,Yes
EMP0113,29,Male,Marketing,Content Creator,48759,5,1,Yes,2,Yes
EMP0114,24,Male,Finance,Accountant,53439,2,2,Yes,1,No
EMP0115,54,Male,Research & Development,Laboratory Technician,92241,4,4,No,2,Yes
EMP0116,49,Male,Finance,Financial Analyst,76270,2,2,No,4,No
EMP0117,29,Female,Finance,Financial Analyst,61279,7,2,No,2,No
EMP0118,55,Female,Sales,Sales Representative,79279,3,2,No,4,No
EMP0119,56,Female,Finance,Accountant,71888,2,2,No,4,No
EMP0120,53,Male,Research & Development,Software Engineer,62630,10,1,No,2,No
EMP0121,45,Male,Finance,Accountant,83144,11,1,No,3,No
EMP0122,35,Male,Finance,Accountant,79182,9,4,No,1,Yes
EMP0123,53,Female,Research & Development,Software Engineer,70538,7,2,No,1,No
EMP0124,37,Male,Sales,Sales Representative,51824,6,1,No,1,No
EMP0125,25,Female,Sales,Sales Representative,72125,1,0,No,3,No
EMP0126,42,Female,Research & Development,Laboratory Technician,51979,5,4,Yes,3,Yes
EMP0127,35,Male,Finance,Financial Analyst,74189,12,5,No,3,No
EMP0128,52,Female,Finance,Financial Analyst,60504,11,3,Yes,3,Yes
EMP0129,39,Male,Sales,Sales Executive,60669,14,4,No,2,No
EMP0130,28,Female,Research & Development,Software Engineer,51910,6,3,No,3,No
EMP0131,31,Female,Research & Development,Research Scientist,91857,3,2,Yes,3,No
EMP0132,28,Male,Sales,Sales Representative,74964,1,1,Yes,1,No
EMP0133,54,Male,Sales,Sales Executive,60131,4,2,No,2,Yes
EMP0134,44,Female,Research & Development,Laboratory Technician,70227,13,0,No,3,No
EMP0135,42,Female,Marketing,Content Creator,43978,2,2,Yes,2,Yes
EMP0136,40,Male,Research & Development,Software Engineer,66991,2,2,No,3,No
EMP0137,40,Female,Research & Development,Laboratory Technician,62153,3,2,Yes,2,No
EMP0138,57,Female,Human Resources,HR Manager,71548,8,4,No,2,Yes
EMP0139,50,Female,Research & Development,Laboratory Technician,87676,8,1,No,2,Yes
EMP0140,39,Male,Marketing,Marketing Specialist,41983,12,2,No,2,Yes
EMP0141,23,Female,Marketing,Marketing Specialist,47503,1,1,No,3,No
EMP0142,22,Female,Sales,Sales Executive,69921,0,0,No,3,Yes
EMP0143,26,Male,Research & Development,Software Engineer,61905,4,4,No,3,No
EMP0144,41,Male,Research & Development,Research Scientist,90838,4,0,Yes,4,No
EMP0145,32,Female,Sales,Sales Representative,63953,10,2,Yes,3,No
EMP0146,23,Male,Sales,Sales Executive,66806,1,1,Yes,3,No
EMP0147,24,Female,Research & Development,Research Scientist,90000,2,1,No,2,Yes
EMP0148,44,Male,Research & Development,Software Engineer,67168,7,5,Yes,3,No
EMP0149,33,Male,Sales,Sales Representative,44583,7,0,No,3,No
EMP0150,41,Female,Sales,Sales Executive,78714,3,1,No,2,No
EMP0151,26,Male,Marketing,Content Creator,49889,4,2,No,3,No
EMP0152,51,Male,Sales,Sales Executive,67413,10,4,No,2,No
EMP0153,30,Male,Sales,Sales Representative,52275,8,4,No,3,Yes
EMP0154,55,Female,Research & Development,Laboratory Technician,47461,6,3,No,4,No
EMP0155,56,Male,Marketing,Marketing Specialist,52291,5,4,No,4,No
EMP0156,43,Male,Sales,Sales Representative,51435,3,0,No,3,No
EMP0157,45,Female,Research & Development,Laboratory Technician,72935,9,4,No,3,Yes
EMP0158,38,Male,Human Resources,HR Specialist,71453,5,3,Yes,3,No
EMP0159,31,Female,Sales,Sales Executive,58544,5,5,No,3,No
EMP0160,51,Male,Human Resources,HR Specialist,50258,14,2,No,1,Yes
EMP0161,44,Female,Research & Development,Laboratory Technician,75841,4,2,Yes,3,No
EMP0162,53,Male,Research & Development,Laboratory Technician,93758,14,4,No,3,No
EMP0163,38,Female,Research & Development,Laboratory Technician,94190,4,1,Yes,4,Yes
EMP0164,38,Male,Research & Development,Laboratory Technician,55736,12,2,No,3,No
EMP0165,35,Male,Sales,Sales Representative,77643,1,1,Yes,3,No
EMP0166,30,Male,Finance,Accountant,82964,7,4,No,3,No
EMP0167,23,Male,Research & Development,Research Scientist,73044,1,1,No,3,No
EMP0168,46,Male,Sales,Sales Executive,79933,3,3,No,3,No
EMP0169,30,Male,Sales,Sales Representative,55997,8,4,No,2,No
EMP0170,43,Female,Research & Development,Laboratory Technician,59215,13,5,Yes,3,No
EMP0171,25,Male,Research & Development,Laboratory Technician,78069,2,2,No,4,No
EMP0172,47,Male,Sales,Sales Executive,63911,3,3,Yes,3,Yes
EMP0173,50,Female,Research & Development,Software Engineer,62030,1,1,No,2,Yes
EMP0174,55,Female,Sales,Sales Executive,69334,6,0,No,3,No
EMP0175,44,Male,Research & Development,Software Engineer,59571,11,3,No,4,No
EMP0176,32,Male,Sales,Sales Executive,82719,10,0,No,1,Yes
EMP0177,27,Male,Research & Development,Laboratory Technician,73927,5,5,No,3,No
EMP0178,39,Female,Research & Development,Research Scientist,65714,11,1,No,4,No
EMP0179,42,Female,Marketing,Marketing Specialist,61387,11,3,No,3,No
EMP0180,57,Male,Sales,Sales Representative,68444,2,2,No,4,No
EMP0181,55,Female,Research & Development,Software Engineer,93908,8,0,Yes,3,No
EMP0182,38,Female,Sales,Sales Executive,59921,14,2,Yes,3,Yes
EMP0183,46,Female,Marketing,Content Creator,51057,6,2,Yes,3,No
EMP0184,33,Female,Finance,Financial Analyst,72858,11,1,No,2,No
EMP0185,44,Male,Sales,Sales Representative,84638,4,3,Yes,2,Yes
EMP0186,43,Male,Research & Development,Research Scientist,71062,5,3,No,3,No
EMP0187,42,Male,Finance,Financial Analyst,84850,8,3,No,2,No
EMP0188,48,Male,Research & Development,Research Scientist,91486,14,5,Yes,3,Yes
EMP0189,52,Male,Research & Development,Software Engineer,65567,3,1,No,4,No
EMP0190,27,Female,Sales,Sales Representative,69739,3,3,No,4,No
EMP0191,48,Male,Sales,Sales Representative,83285,14,5,Yes,3,Yes
EMP0192,55,Male,Finance,Financial Analyst,51754,14,2,No,4,No
EMP0193,33,Male,Marketing,Content Creator,65044,11,0,Yes,3,Yes
EMP0194,28,Female,Research & Development,Software Engineer,46724,4,4,No,3,No
EMP0195,31,Male,Research & Development,Research Scientist,46376,1,1,No,2,Yes
EMP0196,38,Male,Research & Development,Laboratory Technician,53706,9,2,No,3,No
EMP0197,47,Male,Human Resources,HR Specialist,46894,8,0,No,3,No
EMP0198,42,Male,Finance,Accountant,66037,8,2,No,3,No
EMP0199,49,Female,Finance,Financial Analyst,66450,14,1,No,3,No
EMP0200,23,Female,Human Resources,HR Specialist,54406,1,0,Yes,1,No
EMP0201,22,Male,Research & Development,Research Scientist,74725,0,0,Yes,3,Yes
EMP0202,57,Female,Sales,Sales Representative,45926,7,4,No,4,No
EMP0203,47,Female,Sales,Sales Executive,79019,6,5,No,3,No
EMP0204,50,Female,Finance,Accountant,57496,9,2,No,4,No
EMP0205,42,Male,Research & Development,Software Engineer,81068,3,1,No,4,No
EMP0206,32,Male,Sales,Sales Executive,69806,10,3,No,4,No
EMP0207,32,Male,Sales,Sales Executive,62663,3,2,Yes,4,No
EMP0208,57,Female,Research & Development,Research Scientist,86321,3,3,No,4,No
EMP0209,56,Male,Sales,Sales Executive,76495,10,4,No,3,No
EMP0210,55,Male,Sales,Sales Representative,62656,3,2,Yes,1,Yes
EMP0211,45,Male,Research & Development,Research Scientist,70860,9,0,Yes,3,No
EMP0212,43,Female,Research & Development,Research Scientist,94666,12,3,Yes,3,Yes
EMP0213,26,Male,Research & Development,Laboratory Technician,61832,4,4,No,2,No
EMP0214,54,Female,Sales,Sales Executive,78787,13,0,No,2,No
EMP0215,57,Female,Human Resources,HR Manager,59727,7,0,Yes,4,No
EMP0216,41,Male,Sales,Sales Executive,82815,14,0,Yes,4,No
EMP0217,40,Female,Research & Development,Laboratory Technician,74545,9,0,Yes,4,No
EMP0218,56,Male,Human Resources,HR Specialist,40520,11,2,No,3,No
EMP0219,38,Female,Research & Development,Software Engineer,48081,12,5,No,1,Yes
EMP0220,55,Male,Finance,Accountant,82196,7,2,No,1,Yes
EMP0221,30,Female,Research & Development,Software Engineer,81735,8,2,No,2,No
EMP0222,47,Female,Research & Development,Laboratory Technician,84213,12,4,No,1,No
EMP0223,23,Female,Sales,Sales Representative,54566,1,1,No,1,No
EMP0224,30,Female,Research & Development,Software Engineer,59042,4,4,No,4,Yes
EMP0225,30,Male,Sales,Sales Executive,65498,8,4,Yes,3,Yes
EMP0226,38,Female,Sales,Sales Representative,51329,8,1,Yes,2,No
EMP0227,22,Female,Marketing,Content Creator,69656,0,0,Yes,1,Yes
EMP0228,46,Female,Research & Development,Laboratory Technician,47159,5,4,Yes,3,No
EMP0229,46,Male,Finance,Accountant,85900,13,5,No,1,No
EMP0230,56,Female,Research & Development,Laboratory Technician,64363,4,2,No,4,No
EMP0231,24,Female,Human Resources,HR Specialist,57033,2,2,Yes,3,No
EMP0232,51,Female,Research & Development,Laboratory Technician,55805,1,1,No,3,No
EMP0233,55,Male,Research & Development,Laboratory Technician,80851,14,1,No,2,No
EMP0234,33,Female,Research & Development,Laboratory Technician,71832,9,1,Yes,1,Yes
EMP0235,40,Male,Sales,Sales Representative,53944,1,1,No,3,Yes
EMP0236,38,Female,Human Resources,HR Specialist,57873,8,4,No,3,No
EMP0237,31,Male,Sales,Sales Executive,80372,4,3,No,3,No
EMP0238,33,Female,Sales,Sales Representative,63928,9,1,Yes,1,Yes
EMP0239,37,Female,Research & Development,Research Scientist,60379,14,0,Yes,3,No
EMP0240,45,Male,Sales,Sales Representative,76751,11,2,No,3,No
EMP0241,40,Female,Marketing,Content Creator,72546,5,5,Yes,4,Yes
EMP0242,29,Male,Marketing,Content Creator,62286,3,0,No,2,No
EMP0243,52,Female,Marketing,Marketing Specialist,43110,9,5,No,2,Yes
EMP0244,42,Female,Research & Development,Laboratory Technician,57087,11,2,No,3,No
EMP0245,38,Female,Sales,Sales Executive,63762,14,2,No,3,No
EMP0246,44,Female,Marketing,Content Creator,55081,14,1,No,3,No
EMP0247,37,Female,Research & Development,Research Scientist,79947,9,1,Yes,3,No
EMP0248,27,Male,Marketing,Marketing Specialist,47596,4,0,No,3,No
EMP0249,29,Male,Marketing,Marketing Specialist,56313,7,5,No,4,Yes
EMP0250,46,Female,Finance,Accountant,49013,4,2,No,3,No
EMP0251,39,Female,Sales,Sales Representative,63705,12,0,Yes,4,No
EMP0252,46,Female,Research & Development,Laboratory Technician,46828,8,3,No,3,Yes
EMP0253,33,Female,Finance,Financial Analyst,55909,2,0,No,4,No
EMP0254,36,Male,Research & Development,Research Scientist,83356,9,4,Yes,4,No
EMP0255,47,Female,Sales,Sales Executive,53109,13,0,Yes,2,No
EMP0256,47,Male,Research & Development,Software Engineer,47023,14,4,Yes,4,Yes
EMP0257,53,Male,Marketing,Content Creator,52537,6,4,No,1,Yes
EMP0258,31,Male,Research & Development,Software Engineer,71661,9,4,Yes,4,Yes
EMP0259,37,Male,Research & Development,Research Scientist,83659,8,3,Yes,3,Yes
EMP0260,28,Male,Sales,Sales Executive,73848,6,0,No,1,Yes
EMP0261,38,Male,Research & Development,Research Scientist,82804,13,0,Yes,3,No
EMP0262,44,Female,Marketing,Content Creator,53379,14,3,Yes,4,Yes
EMP0263,47,Male,Sales,Sales Executive,67766,1,1,Yes,1,Yes
EMP0264,42,Male,Research & Development,Software Engineer,88590,14,1,Yes,3,Yes
EMP0265,43,Male,Finance,Financial Analyst,50563,12,0,Yes,3,No
EMP0266,28,Male,Human Resources,HR Specialist,74060,3,1,No,4,No
EMP0267,35,Male,Research & Development,Research Scientist,74197,11,5,Yes,3,No
EMP0268,36,Male,Human Resources,HR Manager,41586,14,5,Yes,2,No
EMP0269,28,Female,Research & Development,Laboratory Technician,61087,2,2,No,1,No
EMP0270,30,Female,Sales,Sales Representative,63225,5,5,No,3,No
EMP0271,29,Female,Finance,Financial Analyst,77750,5,5,No,3,No
EMP0272,44,Male,Finance,Accountant,54643,5,2,No,4,No
EMP0273,50,Male,Finance,Accountant,75523,4,2,Yes,1,No
EMP0274,39,Female,Marketing,Marketing Specialist,74727,5,2,No,3,Yes
EMP0275,52,Male,Research & Development,Research Scientist,56005,3,3,No,1,Yes
EMP0276,51,Male,Research & Development,Laboratory Technician,88543,12,3,No,2,No
EMP0277,56,Male,Human Resources,HR Manager,38161,1,1,No,3,No
EMP0278,39,Male,Research & Development,Research Scientist,61029,5,4,Yes,3,No
EMP0279,38,Male,Human Resources,HR Specialist,52226,13,1,No,3,No
EMP0280,35,Male,Human Resources,HR Manager,66731,9,4,Yes,4,No
EMP0281,52,Female,Finance,Accountant,51390,13,4,No,3,Yes
EMP0282,45,Male,Research & Development,Software Engineer,50997,9,2,No,4,No
EMP0283,56,Female,Research & Development,Software Engineer,57693,4,2,No,4,No
EMP0284,55,Female,Sales,Sales Executive,82092,3,3,Yes,3,Yes
EMP0285,24,Female,Research & Development,Laboratory Technician,45541,1,1,No,4,No
EMP0286,47,Female,Sales,Sales Executive,61817,2,0,No,3,No
EMP0287,44,Female,Research & Development,Software Engineer,82861,8,1,No,1,Yes
EMP0288,36,Male,Research & Development,Research Scientist,58428,1,1,No,3,No
EMP0289,25,Male,Sales,Sales Executive,83934,3,3,No,1,Yes
EMP0290,50,Male,Research & Development,Research Scientist,93831,13,5,No,3,Yes
EMP0291,43,Female,Sales,Sales Executive,50258,7,3,Yes,3,Yes
EMP0292,46,Female,Sales,Sales Representative,56044,8,1,No,1,No
EMP0293,34,Male,Finance,Financial Analyst,77411,12,1,Yes,2,Yes
EMP0294,39,Female,Research & Development,Software Engineer,50469,6,1,No,4,No
EMP0295,54,Male,Sales,Sales Representative,68854,12,4,No,3,No
EMP0296,37,Female,Research & Development,Laboratory Technician,51256,14,3,No,2,No
EMP0297,23,Male,Human Resources,HR Manager,48720,1,1,Yes,3,No
EMP0298,56,Male,Sales,Sales Representative,73937,3,2,No,3,No
EMP0299,55,Male,Research & Development,Software Engineer,78598,10,5,No,3,No
EMP0300,51,Male,Sales,Sales Executive,41651,4,4,No,4,No
EMP0301,34,Male,Sales,Sales Representative,59194,12,2,No,3,No
EMP0302,34,Male,Research & Development,Software Engineer,70051,6,5,Yes,2,Yes
EMP0303,39,Female,Research & Development,Software Engineer,72386,8,4,No,4,Yes
EMP0304,53,Male,Research & Development,Laboratory Technician,54518,5,4,No,4,Yes
EMP0305,53,Male,Human Resources,HR Manager,54184,3,0,Yes,1,Yes
EMP0306,56,Female,Marketing,Marketing Specialist,71787,6,0,Yes,2,No
EMP0307,50,Female,Research & Development,Research Scientist,66621,4,0,No,2,No
EMP0308,50,Male,Research & Development,Laboratory Technician,55028,9,5,No,3,No
EMP0309,37,Male,Human Resources,HR Specialist,50448,13,4,No,3,No
EMP0310,31,Male,Sales,Sales Executive,74051,3,3,No,3,No
EMP0311,51,Male,Research & Development,Laboratory Technician,94811,4,4,Yes,4,Yes
EMP0312,46,Female,Sales,Sales Representative,70447,7,2,Yes,3,Yes
EMP0313,41,Male,Sales,Sales Executive,58394,7,4,Yes,1,No
EMP0314,26,Male,Marketing,Content Creator,72501,4,2,Yes,2,No
EMP0315,22,Female,Finance,Accountant,78254,0,0,No,3,No
EMP0316,51,Male,Research & Development,Laboratory Technician,63509,4,0,Yes,2,No
EMP0317,24,Female,Research & Development,Software Engineer,93998,2,2,No,3,No
EMP0318,35,Male,Sales,Sales Representative,54472,12,0,No,4,No
EMP0319,51,Female,Sales,Sales Representative,43471,13,5,No,2,Yes
EMP0320,25,Male,Sales,Sales Representative,81796,3,1,No,3,No
EMP0321,39,Female,Research & Development,Laboratory Technician,75268,6,1,No,3,No
EMP0322,46,Female,Human Resources,HR Manager,46329,12,3,Yes,3,Yes
EMP0323,22,Male,Research & Development,Laboratory Technician,79865,0,0,No,2,Yes
EMP0324,36,Female,Sales,Sales Representative,68272,8,3,Yes,3,No
EMP0325,30,Female,Marketing,Content Creator,44397,2,2,Yes,1,No
EMP0326,36,Female,Human Resources,HR Specialist,70373,11,1,No,4,No
EMP0327,45,Female,Research & Development,Software Engineer,80525,7,5,Yes,1,Yes
EMP0328,25,Female,Research & Development,Software Engineer,69570,3,1,Yes,3,No
EMP0329,33,Male,Research & Development,Laboratory Technician,63284,1,1,No,3,No
EMP0330,27,Male,Sales,Sales Representative,58994,5,5,No,4,Yes
EMP0331,45,Female,Research & Development,Research Scientist,68284,7,3,No,2,No
EMP0332,32,Male,Human Resources,HR Manager,55833,6,4,No,1,No
EMP0333,34,Female,Sales,Sales Executive,65122,6,5,Yes,1,Yes
EMP0334,55,Female,Sales,Sales Executive,45017,6,5,No,2,Yes
EMP0335,46,Male,Sales,Sales Representative,56370,9,3,No,2,No
EMP0336,28,Male,Sales,Sales Representative,69252,2,2,No,3,Yes
EMP0337,25,Female,Finance,Financial Analyst,55999,1,1,No,2,No
EMP0338,29,Male,Human Resources,HR Specialist,60436,7,1,Yes,1,No
EMP0339,41,Female,Research & Development,Research Scientist,87963,12,3,No,4,No
EMP0340,50,Male,Sales,Sales Representative,42096,6,5,No,2,Yes
EMP0341,31,Female,Research & Development,Software Engineer,93201,9,1,Yes,2,Yes
EMP0342,55,Male,Research & Development,Software Engineer,70279,11,1,No,2,No
EMP0343,47,Female,Sales,Sales Representative,83363,8,1,No,4,No
EMP0344,24,Male,Research & Development,Laboratory Technician,93709,2,2,Yes,2,No
EMP0345,27,Female,Research & Development,Research Scientist,71201,5,0,No,4,No
EMP0346,26,Male,Research & Development,Research Scientist,64715,4,3,No,3,No
EMP0347,26,Female,Research & Development,Laboratory Technician,74309,1,0,No,1,No
EMP0348,44,Female,Sales,Sales Executive,55078,9,0,Yes,4,No
EMP0349,30,Male,Research & Development,Software Engineer,50105,8,0,No,2,No
EMP0350,56,Male,Research & Development,Software Engineer,74312,13,1,Yes,1,No
EMP0351,41,Male,Research & Development,Software Engineer,47839,1,1,No,4,No
EMP0352,56,Female,Finance,Financial Analyst,51384,3,1,Yes,3,No
EMP0353,39,Female,Research & Development,Software Engineer,88619,8,1,No,3,Yes
EMP0354,38,Male,Sales,Sales Executive,82821,14,5,No,2,Yes
EMP0355,45,Male,Sales,Sales Executive,53493,3,3,No,3,No
EMP0356,24,Male,Research & Development,Research Scientist,62069,2,0,No,3,No
EMP0357,53,Female,Sales,Sales Executive,47531,4,1,No,2,Yes
EMP0358,56,Male,Research & Development,Laboratory Technician,82051,8,0,No,2,No
EMP0359,34,Female,Marketing,Marketing Specialist,45736,1,1,Yes,1,No
EMP0360,46,Male,Research & Development,Software Engineer,52710,13,4,No,2,Yes
EMP0361,30,Female,Research & Development,Software Engineer,46619,8,3,Yes,4,No
EMP0362,25,Male,Research & Development,Software Engineer,58975,3,0,No,3,No
EMP0363,35,Male,Research & Development,Research Scientist,90603,1,1,Yes,4,Yes
EMP0364,55,Female,Research & Development,Laboratory Technician,68252,14,3,No,2,No
EMP0365,32,Female,Marketing,Content Creator,53261,1,1,No,3,No
EMP0366,24,Female,Research & Development,Software Engineer,46431,2,0,No,2,No
EMP0367,49,Male,Marketing,Marketing Specialist,47067,8,0,Yes,2,No
EMP0368,50,Male,Marketing,Content Creator,65037,11,2,No,2,No
